step,boid_id,x,y,x_vel,y_vel,pre_planned,separation,cohesion,alignment
0,0,651.7237,378.8989,0.9903,-1.2380,0,,,3-30-34
0,1,394.9558,431.6329,0.5704,0.8214,0,4,4,4-31
0,2,606.4480,192.9725,1.5038,-0.5932,0,,,5
0,3,715.5131,356.6476,1.5207,-1.8217,0,,,0-12
0,4,389.5345,455.7923,-0.8508,1.3753,0,1,1,1
0,5,553.0070,112.0226,0.0698,-0.9976,0,,,2
0,6,797.8593,19.9661,-1.1489,0.3971,0,,,32
0,7,293.5354,45.4162,-0.9711,-0.2861,0,,,
0,8,277.7191,358.0156,-0.1418,-1.4994,0,,,9-33
0,9,291.0222,273.2547,0.9257,0.7117,0,33,33,8-16-33
0,10,172.4489,321.9308,0.2009,-0.9796,0,,,20-21
0,11,886.1651,136.2210,-1.2855,-1.8173,0,,,26
0,12,801.8012,351.4384,-1.0189,1.6844,0,,,3-24
0,13,747.7746,537.0850,0.0972,-0.9953,0,,,29
0,14,169.5398,216.6615,-2.1025,-0.6180,0,,20,20-21-22
0,15,664.4593,32.9396,-0.2478,1.1680,0,,23-32,23-32
0,16,313.9938,182.9082,0.4049,-1.8519,0,,,9-22-28-33
0,17,428.4558,252.5335,-0.6040,1.8451,0,,,
0,18,36.3669,166.4404,-0.7298,1.5570,0,,,
0,19,168.8979,582.7140,-1.2764,0.2819,0,,,
0,20,184.4721,249.7686,-0.9423,0.3348,0,,14-21,10-14-21-22
0,21,141.2613,268.3975,-0.9803,0.1973,0,,20,10-14-20
0,22,239.3035,180.0168,-1.5113,0.5495,0,,,14-16-20
0,23,702.3675,57.9219,0.5036,0.8639,0,32,15-32,15-32
0,24,840.8482,311.5895,0.5343,1.6700,0,,,12-26
0,25,302.0830,583.4776,0.0140,-1.1421,0,,,35
0,26,830.0368,215.5439,-0.3363,-1.2530,0,,,11-24
0,27,135.8962,483.4141,-1.2300,0.9678,0,,,
0,28,364.5709,130.3909,0.4887,-0.8725,0,,,16
0,29,650.8340,546.5165,0.9996,-0.0267,0,,,13-34
0,30,556.9340,376.6409,-1.5786,0.2765,0,,,0-34
0,31,451.0974,361.1951,1.3478,0.3118,0,,,1
0,32,709.1802,52.3103,-1.3336,0.3885,0,23,15-23,6-15-23
0,33,299.7926,279.0575,1.6617,-1.5417,0,9,9,8-9-16
0,34,615.5948,454.3576,-0.9982,1.3015,0,,,0-29-30
0,35,390.5312,566.7165,-1.3559,-0.6790,0,,,25
1,0,652.6469,377.7188,0.9232,-1.1801,0,,,3-30-34
1,1,395.8161,432.1427,0.8603,0.5098,0,4,4,4-31
1,2,607.8801,192.3591,1.4321,-0.6134,0,,,5
1,3,716.9554,354.9296,1.4423,-1.7180,0,,,0-12
1,4,388.6558,457.5512,-0.8786,1.7589,0,1,1,1
1,5,553.1465,111.0324,0.1396,-0.9902,0,,,2
1,6,796.7011,20.3629,-1.1582,0.3967,0,,,32
1,7,292.5643,45.1301,-0.9711,-0.2861,0,,,
1,8,277.6491,356.5704,-0.0700,-1.4452,0,,,9-33
1,9,291.8605,273.8000,0.8383,0.5453,0,33,33,8-16-33
1,10,172.6027,320.9427,0.1538,-0.9881,0,,,20-21
1,11,884.9270,134.4320,-1.2381,-1.7891,0,,,26
1,12,800.8827,353.0373,-0.9185,1.5990,0,,,3-24
1,13,747.9232,536.0961,0.1486,-0.9889,0,,,29
1,14,167.4993,216.1238,-2.0404,-0.5376,0,,20,20-21-22
1,15,664.2424,34.1016,-0.2169,1.1620,0,,23-32,23-32
1,16,314.3969,181.1325,0.4031,-1.7758,0,,,9-22-28-33
1,17,427.8518,254.3786,-0.6040,1.8451,0,,,
1,18,35.6371,167.9974,-0.7298,1.5570,0,,,
1,19,167.6215,582.9960,-1.2764,0.2819,0,,,
1,20,183.4936,250.0698,-0.9785,0.3012,0,,14-21,10-14-21-22
1,21,140.2738,268.5549,-0.9875,0.1574,0,,20,10-14-20
1,22,237.8242,180.5053,-1.4793,0.4885,0,,,14-16-20
1,23,702.6638,58.8770,0.2963,0.9551,0,32,15-32,15-32
1,24,841.3244,313.1846,0.4762,1.5951,0,,,12-26
1,25,302.0286,582.3587,-0.0544,-1.1190,0,,,35
1,26,829.6983,214.3486,-0.3385,-1.1952,0,,,11-24
1,27,134.6663,484.3818,-1.2300,0.9678,0,,,
1,28,365.0553,129.4733,0.4844,-0.9176,0,,,16
1,29,651.8338,546.4976,0.9998,-0.0189,0,,,13-34
1,30,555.4325,376.9066,-1.5015,0.2657,0,,,0-34
1,31,452.4209,361.5167,1.3234,0.3217,0,,,1
1,32,707.9947,52.5910,-1.1855,0.2807,0,23,15-23,6-15-23
1,33,301.5340,277.6431,1.7413,-1.4143,0,9,9,8-9-16
1,34,614.6536,455.5785,-0.9413,1.2209,0,,,0-29-30
1,35,389.2404,566.0155,-1.2908,-0.7010,0,,,25
2,0,653.5073,376.5938,0.8604,-1.1250,0,,,3-30-34
2,1,396.8128,432.2235,0.9967,0.0808,0,4,4,4-31
2,2,609.2476,191.7269,1.3675,-0.6322,0,,,5
2,3,718.3241,353.3094,1.3687,-1.6202,0,,,0-12
2,4,387.7238,459.6834,-0.9321,2.1322,0,1,1,1
2,5,553.3489,110.0531,0.2024,-0.9793,0,,,2
2,6,795.5416,20.7538,-1.1595,0.3909,0,,,32
2,7,291.5931,44.8440,-0.9711,-0.2861,0,,,
2,8,277.6470,355.1757,-0.0020,-1.3947,0,,,9-33
2,9,292.7307,274.2927,0.8702,0.4927,0,33,33,8-16-33
2,10,172.7067,319.9481,0.1040,-0.9946,0,,,20-21
